Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
Bicentennial Man,English,1999,Yes,701.79,6.40,8,Drama-Family-Fantasy-Romance-Sci-Fi,
Big Buck Bunny,English,2008,Yes,228.26,6.90,NA,Animation-Short-Comedy,
Big Fish,English,2003,Yes,896.68,8.00,NA,Adventure-Drama-Fantasy,
Black,Hindi,2005,Yes,1117.80,8.00,9,Drama,
Black & White,Hindi,2008,Yes,698.83,6.10,NA,Crime-Drama-Thriller,
Black Death,English,2010,No,1019.72,6.50,NA,Adventure-Drama-Mystery,
Black Dynamite,English,2009,Yes,696.68,7.30,NA,Action-Comedy,
Black Hawk Down,English,2001,Yes,532.50,7.70,NA,Action-Drama-History-War,
Black Swan,English,2010,Yes,399.90,8.30,9,Drama-Mystery-Thriller,
Blade,English,1998,Yes,0.00,7.00,8,Action-Fantasy-Horror,
Blade II,English,2002,Yes,0.00,6.60,7,Action-Fantasy-Horror-Thriller,
Blade Runner,English,1982,Yes,700.22,8.30,8,Drama-Sci-Fi-Thriller,
Blade: Trinity,English,2004,Yes,0.00,5.70,7,Action-Adventure-Fantasy-Horror-Thriller,
Blind Dating,English,2006,Yes,699.49,6.00,NA,Comedy-Romance,
Blood Diamond,English,2006,Yes,900.21,8.00,NA,Adventure-Drama-Thriller,
Bluffmaster!,Hindi,2005,Yes,1400.58,7.00,NA,Comedy-Romance-Thriller,
Body of Lies,English,2008,Yes,701.62,7.10,NA,Action-Drama-Thriller,
Bolt,English,2008,Yes,700.40,7.20,NA,Animation-Adventure-Comedy-Family,
Bombay,Hindi,1995,Yes,699.93,7.60,9,Drama-Musical-Romance,
Bommarillu,Telugu,2006,Yes,1419.24,7.70,10,Drama-Musical-Romance,
Bonnie and Clyde,English,1967,Yes,424.10,8.00,8,Biography-Crime-Drama,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,English,2006,Yes,700.28,7.50,NA,Comedy,
Border,Hindi,1997,Yes,399.19,7.40,8,Action-War,
Bound,English,1996,Yes,700.02,7.40,NA,Crime-Drama-Thriller,
Bourne Trilogy,English,2007,Yes,2106.89,NA,9,Action-Crime-Thriller,
Boys,Telugu,2003,Yes,1397.73,7.20,NA,Comedy-Drama,
Boys Don't Cry,English,1999,Yes,800.00,7.60,8,Crime-Drama-Romance,
Braveheart,English,1995,Yes,889.48,8.40,8,Action-Biography-Drama-History-War,
Brindaavanam,Telugu,NA,No,699.95,NA,NA,,
Bring It On: Fight to the Finish,English,2009,Yes,700.33,4.80,6,Comedy-Sport,
Brokeback Mountain,English,2005,Yes,701.01,7.80,8,Drama-Romance,
Broken Arrow,English,1996,Yes,1049.19,5.80,NA,Action-Thriller,
Broken Embraces (Los abrazos rotos),Foreign Language,2009,No,800.11,7.20,NA,Drama-Romance-Thriller,
Bruce Almighty,English,2003,Yes,904.20,6.60,NA,Comedy-Drama-Fantasy,
Buddha Mar Gaya,Hindi,2007,Yes,225.08,2.80,5,Comedy,
Burn After Reading,English,2008,Yes,701.19,7.20,7,Comedy-Crime-Drama,
Butch Cassidy and the Sundance Kid,English,1969,Yes,700.06,8.20,NA,Adventure-Western,
Cabaret,English,1972,Yes,698.28,7.80,NA,Drama-Music-Musical,
Captain America: The First Avenger,English,2011,Yes,1164.77,6.90,8,Action-Adventure-Sci-Fi,
Captivity,English,2007,Yes,699.88,4.60,NA,Crime-Horror-Thriller,
Cars,English,2006,Yes,1395.94,7.40,NA,Animation-Adventure-Comedy-Family-Sport,
Cars 2,English,2011,Yes,1546.48,6.50,7,Animation-Adventure-Comedy-Family,
Casablanca,English,1942,No,699.59,8.70,NA,Drama-Romance,
Case 39,English,2009,No,700.62,6.10,NA,Horror-Mystery-Thriller,
Cash,Hindi,2007,Yes,696.52,3.70,6,Action-Drama-Thriller,
Catch Me If You Can,English,2002,Yes,1362.45,7.80,NA,Biography-Comedy-Crime-Drama,
Centurion,English,2010,No,699.47,6.40,NA,Action-Adventure-Drama-History-Thriller-War,
Chak De India!,Hindi,2007,Yes,674.13,7.90,8,Drama-Family-Sport,
Chakwa,Marathi,NA,Yes,234.62,NA,7,Drama-Family,
Chalo Dilli,Hindi,2011,Yes,810.19,6.90,NA,Comedy-Crime-Drama,
Changeling,English,2008,Yes,899.96,8.00,8,Drama-Mystery-Thriller,
Chaos,English,2005,Yes,701.94,6.40,NA,Action-Crime-Drama-Thriller,
Charlie Chaplin Collection,English,NA,Yes,1483.70,NA,8,Comedy-Drama,
Charlie Chaplin: The Adventurer,English,1917,Yes,137.33,7.50,NA,Comedy-Short,
Charlie Chaplin: The Fireman,English,1916,Yes,132.40,6.40,NA,Short-Comedy,
Charlie Chaplin: The Great Dictator,English,1940,Yes,1213.97,8.40,8,Comedy-Drama-War,
Charlie Wilson's War,English,2007,Yes,701.79,7.30,7,Biography-Comedy-Drama-History,
Charlie's Angels,English,2000,Yes,700.60,5.50,NA,Action-Adventure-Comedy-Crime-Thriller,
Charlie's Angels: Full Throttle,English,2003,Yes,701.41,4.70,NA,Action-Adventure-Comedy-Crime,
Chasing Liberty,English,2004,Yes,700.09,5.80,NA,Comedy-Romance,
Checkmate,Marathi,2008,Yes,699.72,6.80,8,Thriller,
Chicago,English,2002,Yes,697.58,7.20,NA,Comedy-Crime-Drama-Musical,
Children Of Heaven (Bacheha-Ye aseman),Foreign Language,1997,Yes,700.43,8.10,NA,Adventure-Drama-Family,
Children of Men,English,2006,Yes,701.71,8.00,NA,Adventure-Drama-Sci-Fi-Thriller,
Chillar Party,Hindi,2011,Yes,419.25,7.40,NA,Comedy-Drama-Family,
Chinese Coffee,English,2000,No,697.59,7.40,NA,Drama,
Chocolat,English,2000,No,700.70,7.30,NA,Drama-Mystery-Romance,
Cinderella Man,English,2005,Yes,1401.98,8.00,8,Biography-Drama-Romance-Sport,
Citizen Kane,English,1941,Yes,1030.50,8.60,9,Drama-Mystery,
City of Angels,English,1998,Yes,752.19,6.40,NA,Drama-Fantasy-Romance-Thriller,
City of Ember,English,2008,Yes,702.25,6.40,NA,Adventure-Family-Fantasy-Sci-Fi,
City of God (Cidade de Deus),English,2002,Yes,849.28,8.80,9,Crime-Drama,
CJ7 (Cheung Gong 7 hou),English,2008,Yes,712.28,6.60,6,Comedy-Drama-Family-Fantasy-Sci-Fi,
Clash of the Titans,English,2010,Yes,697.73,5.80,7,Action-Adventure-Fantasy,
Clash of the Titans [1981],English,1981,Yes,860.35,6.70,7,Action-Adventure-Fantasy-Family-Romance,
Close Encounters of the Third Kind,English,1977,Yes,699.75,7.80,NA,Drama-Sci-Fi,
Cocoon,English,1985,Yes,697.80,6.60,NA,Adventure-Comedy-Romance-Sci-Fi,
Collateral Damage,English,2002,Yes,1054.69,5.30,7,Action-Thriller,
Colombiana,English,2011,Yes,1343.36,6.20,NA,Action-Crime-Drama-Thriller,
Commando,English,1985,Yes,247.32,6.30,7,Action-Adventure,
Con Air,English,1997,Yes,799.62,6.70,7,Action-Crime-Thriller,
